AREA_NAME,YEAR,GROUP_NAME,SUB_GROUP_NAME,AUTO_THEFT_COORDINATED_TRACED,AUTO_THEFT_RECOVERED,AUTO_THEFT_STOLEN
Andaman & Nicobar Islands,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,4
Andhra Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136.0,1311.0,2725
Arunachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,21.0,27
Assam,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,94.0,205
Bihar,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44.0,205.0,946
Chandigarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,107.0,281
Chhattisgarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,338.0,790
Dadra & Nagar Haveli,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,12
Delhi,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,62.0,688.0,3185
Goa,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9.0,68.0,152
Gujarat,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,401.0,1345.0,4830
Haryana,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34.0,882.0,1967
Himachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,31.0,47
Jammu & Kashmir,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,81.0,460
Jharkhand,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10.0,38.0,211
Karnataka,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,183.0,993.0,3087
Kerala,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47.0,300.0,1038
Madhya Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1063.0,3756
Maharashtra,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,653.0,1968.0,6244
Manipur,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5.0,57
Meghalaya,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,5.0,22
Mizoram,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,11.0,11
Nagaland,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,15.0,53
Odisha,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22.0,222.0,778
Puducherry,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136.0,136.0,281
Punjab,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,123.0,229.0,609
Rajasthan,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58.0,628.0,3273
Sikkim,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,2.0,2
Tamil Nadu,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,2523.0,3858
Tripura,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,10
Uttar Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,15.0,727.0,4046
Uttarakhand,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,60.0,236
West Bengal,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14.0,461.0,1904
Andaman & Nicobar Islands,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,1.0,2
Andhra Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12.0,1420.0,3025
Arunachal Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,19.0,49
Assam,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,115.0,485
Bihar,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13.0,197.0,996
