DISTRICT,ds,yhat,yhat_lower,yhat_upper,is_forecast,year,actual
BAGALKOT,2001-01-01,3557.0,3527.0,3587.0,False,2001,3544.0
BAGALKOT,2002-01-01,3962.0,3931.0,3992.0,False,2002,3998.0
BAGALKOT,2003-01-01,4088.0,4059.0,4117.0,False,2003,4042.0
BAGALKOT,2004-01-01,4214.0,4186.0,4244.0,False,2004,4237.0
BAGALKOT,2005-01-01,4302.0,4271.0,4330.0,False,2005,4313.0
BAGALKOT,2006-01-01,4280.0,4253.0,4313.0,False,2006,4284.0
BAGALKOT,2007-01-01,4259.0,4230.0,4287.0,False,2007,4244.0
BAGALKOT,2008-01-01,4269.0,4239.0,4299.0,False,2008,4248.0
BAGALKOT,2009-01-01,4404.0,4376.0,4434.0,False,2009,4420.0
BAGALKOT,2010-01-01,4538.0,4508.0,4568.0,False,2010,4547.0
BAGALKOT,2011-01-01,4663.0,4633.0,4692.0,False,2011,4681.0
BAGALKOT,2012-01-01,4787.0,4760.0,4818.0,False,2012,4752.0
BAGALKOT,2013-01-01,4912.0,4883.0,4942.0,False,2013,4925.0
BAGALKOT,2014-01-01,5037.0,4989.0,5090.0,True,2014,
BAGALKOT,2015-01-01,5161.0,5032.0,5299.0,True,2015,
BAGALKOT,2016-01-01,5286.0,5022.0,5557.0,True,2016,
BANGALORE COMMR.,2001-01-01,62394.0,57774.0,67394.0,False,2001,60993.0
BANGALORE COMMR.,2002-01-01,63298.0,58662.0,68181.0,False,2002,65512.0
BANGALORE COMMR.,2003-01-01,64203.0,58938.0,68831.0,False,2003,65809.0
BANGALORE COMMR.,2004-01-01,65107.0,60302.0,70070.0,False,2004,65500.0
BANGALORE COMMR.,2005-01-01,66014.0,61525.0,70451.0,False,2005,67870.0
BANGALORE COMMR.,2006-01-01,66918.0,62014.0,71716.0,False,2006,60054.0
BANGALORE COMMR.,2007-01-01,67823.0,62816.0,72807.0,False,2007,61656.0
BANGALORE COMMR.,2008-01-01,68727.0,63978.0,73345.0,False,2008,69222.0
BANGALORE COMMR.,2009-01-01,69634.0,64832.0,74347.0,False,2009,76825.0
BANGALORE COMMR.,2010-01-01,70539.0,65964.0,75344.0,False,2010,75522.0
BANGALORE COMMR.,2011-01-01,71443.0,66809.0,76706.0,False,2011,71779.0
BANGALORE COMMR.,2012-01-01,72348.0,67551.0,77290.0,False,2012,69042.0
BANGALORE COMMR.,2013-01-01,73254.0,68403.0,78461.0,False,2013,72001.0
BANGALORE COMMR.,2014-01-01,74159.0,68979.0,78888.0,True,2014,
BANGALORE COMMR.,2015-01-01,75063.0,70529.0,80308.0,True,2015,
BANGALORE COMMR.,2016-01-01,75968.0,71323.0,80583.0,True,2016,
BANGALORE RURAL,2001-01-01,16199.0,12412.0,19774.0,False,2001,11001.0
BANGALORE RURAL,2002-01-01,15765.0,11895.0,19623.0,False,2002,15447.0
BANGALORE RURAL,2003-01-01,15332.0,11845.0,18937.0,False,2003,15743.0
BANGALORE RURAL,2004-01-01,14898.0,11270.0,18759.0,False,2004,17277.0
BANGALORE RURAL,2005-01-01,14463.0,10798.0,18073.0,False,2005,17336.0
BANGALORE RURAL,2006-01-01,14030.0,10567.0,17931.0,False,2006,18536.0
BANGALORE RURAL,2007-01-01,13596.0,9957.0,17553.0,False,2007,18060.0
BANGALORE RURAL,2008-01-01,13162.0,9403.0,16947.0,False,2008,9409.0
BANGALORE RURAL,2009-01-01,12727.0,8704.0,16555.0,False,2009,9534.0
